SampleNo,Datecaptured,Timecaptured,Depthcaptured_m,QuarantineNo,Datetrial,JulianDate,Starttimetrial,Endtimetrial,Starvationtime_hours,Mooncycle,Cloudcover,Current,Sunsettime,EnclosureNo,Sex,Lionfishtotallength_cm,Lionfishstandardlength_cm,LionfishWetWeight_g,BodyCondition,Numberchromisconsumed,Proportionchromisconsumed,Portionbiomass_chromis,Portiondiet_chromis,Numberwrasseconsumed,Proportionwrasseconsumed,Portionbiomass_wrasse,Portiondiet_wrasse,Numbergobyconsumed,Proportiongobyconsumed,Portionbiomass_goby,Portiondiet_goby,Totalfishconsumed
1,22-Apr,15:00,23,1,26-Apr,117,14:15,20:15,95.25,WaningGibbous,10,Med,18:49,1,F,20.2,15.2,96,0.01165,3,0.27,0.09,0.88,0,0,0,0,2,0.04,0.01,0.12,5
2,22-Apr,15:00,26,2,26-Apr,117,14:15,20:15,95.25,WaningGibbous,10,Med,18:49,2,F,24.6,20.2,264,0.01773,0,0,0,0,1,0.09,0.03,1,0,0,0,0,1
3,22-Apr,15:00,23,3,26-Apr,117,14:15,20:15,95.25,WaningGibbous,10,Med,18:49,3,M,25.2,20.1,248,0.0155,0,0,0,0,2,0.18,0.06,1,0,0,0,0,2
4,26-Apr,12:30,22,1,30-Apr,121,14:15,20:15,97.75,ThirdQuarter,0,Med,18:50,1,F,25.2,19.4,201,0.01256,3,0.27,0.09,1,0,0,0,0,0,0,0,0,3
5,26-Apr,12:30,21,3,30-Apr,121,14:15,20:15,97.75,ThirdQuarter,0,Med,18:50,2,M,20.1,15.7,115,0.01416,2,0.18,0.06,1,0,0,0,0,0,0,0,0,2
6,26-Apr,12:30,23,4,30-Apr,121,14:15,20:15,97.75,ThirdQuarter,0,Med,18:50,3,U,15.4,11.7,44,0.01205,4,0.36,0.12,0.71,1,0.09,0.03,0.18,3,0.05,0.02,0.11,8
7,30-Apr,17:30,18,5,4-May,125,14:15,20:15,92.75,WaningCrescent,0,Low,18:50,2,F,19.1,14.2,82,0.01177,2,0.18,0.06,1,0,0,0,0,0,0,0,0,2
8,30-Apr,17:30,20,4,4-May,125,14:15,20:15,92.75,WaningCrescent,0,Low,18:50,3,F,15.3,12.3,55,0.01536,3,0.27,0.09,1,0,0,0,0,0,0,0,0,3
9,2-May,8:30,26,1,6-May,127,14:15,20:15,101.75,New,0,Med,18:51,1,F,25.9,20.1,260,0.01496,2,0.18,0.06,0.91,0,0,0,0,1,0.02,0.01,0.09,3
12,6-May,17:15,32,6,10-May,131,14:15,20:15,93,WaxingCrescent,60,High,18:52,2,F,20.2,16.3,113,0.01371,3,0.27,0.09,0.75,1,0.09,0.03,0.25,0,0,0,0,4
13,6-May,17:15,19,7,10-May,131,14:15,20:15,93,WaxingCrescent,60,High,18:52,3,F,22.8,17.8,176,0.01485,1,0.09,0.03,1,0,0,0,0,0,0,0,0,1
16,8-May,17:00,11,3,12-May,133,14:15,20:15,93.25,WaxingCrescent,0,Low,18:52,3,F,19.3,14.7,97,0.01349,1,0.09,0.03,1,0,0,0,0,0,0,0,0,1
17,10-May,17:00,8,4,14-May,135,14:15,20:15,93.25,WaxingGibbous,40,Med,18:52,1,F,20.8,16.1,123,0.01367,3,0.27,0.09,1,0,0,0,0,0,0,0,0,3
18,10-May,17:00,22,6,14-May,135,14:15,20:15,93.25,WaxingGibbous,40,Med,18:52,2,F,25.2,14.5,226,0.01412,1,0.09,0.03,1,0,0,0,0,0,0,0,0,1
20,14-May,16:30,16,6,18-May,139,14:15,20:15,93.75,WaxingGibbous,40,High,18:53,1,F,16.3,12.3,48,0.01108,1,0.09,0.03,0.83,0,0,0,0,1,0.02,0.01,0.17,2
21,14-May,16:30,6,7,18-May,139,14:15,20:15,93.75,WaxingGibbous,40,High,18:53,3,M,23.9,18.3,189,0.01384,0,0,0,0,0,0,0,0,2,0.04,0.01,1,2
22,1-Jun,15:00,19,5,5-Jun,157,14:15,20:15,95.25,New,0,Low,18:59,1,F,16.9,12.5,59,0.01222,1,0.09,0.03,0.17,4,0.36,0.12,0.69,4,0.07,0.02,0.14,9
25,3-Jun,16:00,16,4,7-Jun,159,14:15,20:15,94.25,WaxingCrescent,100,Low,18:59,1,M,26.9,20.8,300,0.01541,2,0.18,0.06,1,0,0,0,0,0,0,0,0,2
26,3-Jun,16:00,19,3,7-Jun,159,14:15,20:15,94.25,WaxingCrescent,100,Low,18:59,2,M,17.5,13.1,61,0.01138,2,0.18,0.06,0.91,0,0,0,0,1,0.02,0.01,0.09,3
27,3-Jun,16:00,27,7,7-Jun,159,14:15,20:15,94.25,WaxingCrescent,100,Low,18:59,3,F,20.2,16.2,131,0.01589,1,0.09,0.03,0.5,1,0.09,0.03,0.5,0,0,0,0,2
